scene	path	active	text	fontSizeTMP	inkHeightCanvas	rectWidth	rectHeight	color
MainMenu	Canvas/MainPanel/GameTitle	True	OUTBREAK	112	75.545	720	168	EBE8DAFF
MainMenu	Canvas/MainPanel/PlayBtn/Text	True	PLAY ONLINE	28	20.674	374	52	DC7769FF
MainMenu	Canvas/MainPanel/SettingsBtn/Text	True	SETTINGS	28	20.674	374	52	EBE8DAFF
MainMenu	Canvas/MainPanel/QuitBtn/Text	True	QUIT TO DESKTOP	28	25.558	374	52	EBE8DAFF
MainMenu	Canvas/MainPanel/GameTitleSecondLine	True	PROTOCOL	66	43.199	720	98	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/ClosePlayBtn/Text	False	BACK	20	0	89	36	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/Title	False	ASSEMBLE YOUR SQUAD	42.466	0	760	62	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/Subtitle	False	Create a room or join your teammates with a room code.	22	0	830	32	AEACA3FF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/CreateTitle	False	YOUR CALLSIGN	18	0	800	28	AEACA3FF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/CallsignInput/Text Area/Placeholder	False	Your callsign	22	0	814	44	AEACA3FF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/CallsignInput/Text Area/Text	False	Player5705​	24	0	814	44	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/SaveNameBtn/Text	False	SAVE	22	0	98	48	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/HostRoomBtn/Text	False	CREATE ROOM	24	0	420	52	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/JoinTitle	False	JOIN YOUR TEAM	30.137	0	450	44	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/JoinCodeInput/Text Area/Placeholder	False	ABC123	22	0	232	48	AEACA3FF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/JoinCodeInput/Text Area/Text	False	​	24	0	232	48	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/JoinRoomBtn/Text	False	JOIN ROOM	22	0	162	52	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/HostHeading	False	LEAD A NEW SQUAD	30.137	0	450	44	EBE8DAFF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/HostDescription	False	Create a room, then share the code.	21	0	456	56	AEACA3FF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/JoinDescription	False	Enter the code shared by your squad leader.	21	0	468	56	AEACA3FF
MainMenu	Canvas/PlayPopup/PlayOnlineModal/ConnectionStatus	False	Ready to connect.	21	0	1004	58	DC7769FF
MainMenu	Canvas/SettingsPanel/SettingsShell/Title	False	SETTINGS	43.836	0	960	64	EBE8DAFF
